id,name,type 1,type 2,total,hp,attack,defense,sp_attack,sp_defense,speed,generation,legendary
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,false
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,false
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,false
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,false
4,Charmander,Fire,,309,39,52,43,60,50,65,1,false
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,false
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,false
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,false
6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,false
7,Squirtle,Water,,314,44,48,65,50,64,43,1,false
8,Wartortle,Water,,405,59,63,80,65,80,58,1,false
9,Blastoise,Water,,530,79,83,100,85,105,78,1,false
9,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,false
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,false
11,Metapod,Bug,,205,50,20,55,25,25,30,1,false
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,false
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,false
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,false
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,false
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,false
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,false
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,false
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,false
18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,false
19,Rattata,Normal,,253,30,56,35,25,35,72,1,false
20,Raticate,Normal,,413,55,81,60,50,70,97,1,false
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,false
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,false
23,Ekans,Poison,,288,35,60,44,40,54,55,1,false
24,Arbok,Poison,,438,60,85,69,65,79,80,1,false
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,false
26,Raichu,Electric,,485,60,90,55,90,80,110,1,false
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,false
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,false
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,false
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,false
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,false
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,false
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,false
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,false
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,false
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,false
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,false
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,false
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,false
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,false
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,false
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,false
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,false
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,false
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,false
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,false
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,false
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,false
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,false
50,Diglett,Ground,,265,10,55,25,35,45,95,1,false
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,false
52,Meowth,Normal,,290,40,45,35,40,40,90,1,false
53,Persian,Normal,,440,65,70,60,65,65,115,1,false
54,Psyduck,Water,,320,50,52,48,65,50,55,1,false
